ts,occ,bid,ask
1787234337.192,NBIS260821P00205000,2.1700,2.2900
1787234338.008,NBIS260821P00205000,2.1200,2.2600
1787234339.207,NBIS260821P00205000,2.0700,2.2100
1787234340.010,NBIS260821P00205000,2.0800,2.2000
1787234341.049,NBIS260821P00205000,2.0400,2.1700
1787234342.005,NBIS260821P00205000,2.0400,2.1700
1787234343.149,NBIS260821P00205000,2.0400,2.1800
1787234344.009,NBIS260821P00205000,1.9800,2.1400
1787234345.117,NBIS260821P00205000,2.0000,2.1400
1787234346.051,NBIS260821P00205000,2.0200,2.1700
1787234347.009,NBIS260821P00205000,2.0200,2.1600
1787234348.088,NBIS260821P00205000,2.0100,2.1300
1787234349.342,NBIS260821P00205000,1.8600,2.1000
1787234350.006,NBIS260821P00205000,1.9400,2.0800
1787234351.029,NBIS260821P00205000,1.9000,2.0300
1787234352.633,NBIS260821P00205000,1.9000,2.0300
1787234353.210,NBIS260821P00205000,1.9400,2.0500
1787234354.422,NBIS260821P00205000,1.9400,2.0500
1787234355.393,NBIS260821P00205000,1.9400,2.0500
1787234356.025,NBIS260821P00205000,1.9300,2.0500
1787234357.222,NBIS260821P00205000,1.9300,2.0500
1787234358.038,NBIS260821P00205000,1.9000,2.0500
1787234359.360,NBIS260821P00205000,1.8800,2.0500
1787234360.068,NBIS260821P00205000,1.8900,2.0500
1787234361.072,NBIS260821P00205000,1.8100,2.0500
1787234362.030,NBIS260821P00205000,1.8100,2.0100
1787234363.013,NBIS260821P00205000,1.7500,1.9400
1787234364.092,NBIS260821P00205000,1.7500,1.8700
1787234365.551,NBIS260821P00205000,1.7200,1.8700
1787234366.007,NBIS260821P00205000,1.6100,1.8400
1787234367.196,NBIS260821P00205000,1.6800,1.8300
1787234368.105,NBIS260821P00205000,1.6900,1.8300
1787234369.077,NBIS260821P00205000,1.7100,1.8300
1787234370.004,NBIS260821P00205000,1.7100,1.8400
1787234371.005,NBIS260821P00205000,1.7100,1.8400
1787234372.041,NBIS260821P00205000,1.7100,1.8400
1787234373.037,NBIS260821P00205000,1.7000,1.8400
1787234374.036,NBIS260821P00205000,1.5500,1.7900
1787234375.092,NBIS260821P00205000,1.6700,1.8200
1787234376.503,NBIS260821P00205000,1.6700,1.8200
1787234377.061,NBIS260821P00205000,1.6700,1.8200
1787234378.027,NBIS260821P00205000,1.6800,1.8200
1787234379.033,NBIS260821P00205000,1.7100,1.8400
1787234380.134,NBIS260821P00205000,1.8900,2.0700
1787234381.096,NBIS260821P00205000,1.8900,2.0700
1787234382.160,NBIS260821P00205000,1.9500,2.0000
1787234383.104,NBIS260821P00205000,1.9600,2.1000
1787234384.008,NBIS260821P00205000,1.8900,2.1000
1787234385.040,NBIS260821P00205000,1.9100,2.1000
1787234386.077,NBIS260821P00205000,1.9100,2.1000
1787234387.030,NBIS260821P00205000,1.9100,2.1000
1787234388.011,NBIS260821P00205000,1.9000,2.0500
1787234389.257,NBIS260821P00205000,1.8900,2.0500
1787234390.007,NBIS260821P00205000,1.9000,2.0100
1787234391.342,NBIS260821P00205000,1.9000,2.0100
1787234392.418,NBIS260821P00205000,1.9000,2.0100
1787234393.188,NBIS260821P00205000,1.9000,2.0100
1787234394.005,NBIS260821P00205000,1.9000,2.0100
1787234395.067,NBIS260821P00205000,1.9000,2.0100
1787234396.143,NBIS260821P00205000,1.9000,2.0100
1787234397.038,NBIS260821P00205000,1.6800,1.9600
1787234398.131,NBIS260821P00205000,1.6900,1.9600
1787234399.124,NBIS260821P00205000,1.6900,1.9600
1787234400.093,NBIS260821P00205000,1.6900,1.9600
1787234401.011,NBIS260821P00205000,1.6300,1.9100
1787234402.039,NBIS260821P00205000,1.7500,2.0100
1787234403.179,NBIS260821P00205000,1.5400,1.8400
1787234404.006,NBIS260821P00205000,1.5400,1.8400
1787234405.036,NBIS260821P00205000,1.5400,1.8000
1787234406.061,NBIS260821P00205000,1.5400,1.8000
1787234407.035,NBIS260821P00205000,1.6700,1.8200
1787234408.350,NBIS260821P00205000,1.6700,1.8100
1787234409.008,NBIS260821P00205000,1.7300,1.8200
1787234410.072,NBIS260821P00205000,1.7500,2.0100
1787234411.009,NBIS260821P00205000,1.7900,1.9500
1787234412.197,NBIS260821P00205000,1.8000,1.9500
1787234413.003,NBIS260821P00205000,1.7700,1.9200
1787234414.680,NBIS260821P00205000,1.7700,1.9500
1787234415.407,NBIS260821P00205000,1.7700,1.9500
1787234416.036,NBIS260821P00205000,1.6700,1.9000
1787234417.039,NBIS260821P00205000,1.7900,2.0600
1787234418.036,NBIS260821P00205000,1.7900,1.9600
1787234419.039,NBIS260821P00205000,1.7700,1.9600
1787234420.083,NBIS260821P00205000,1.8200,1.9600
1787234421.362,NBIS260821P00205000,1.8200,1.9600
1787234422.021,NBIS260821P00205000,1.8700,2.0800
1787234423.035,NBIS260821P00205000,1.8800,2.0800
1787234424.013,NBIS260821P00205000,1.7500,1.9600
